time,open,high,low,close,tick_volume,spread,real_volume,utc,jst
1762138680,52250.39,52260.39,52245.39,52260.39,11,1000,0,2025-11-03 00:58:00+00:00,2025-11-03 09:58:00+09:00
1762138740,52260.39,52275.39,52255.39,52275.39,13,1000,0,2025-11-03 00:59:00+00:00,2025-11-03 09:59:00+09:00
1762138800,52275.39,52280.39,52260.39,52265.39,16,1000,0,2025-11-03 01:00:00+00:00,2025-11-03 10:00:00+09:00
1762138860,52265.39,52275.39,52255.39,52255.39,21,1000,0,2025-11-03 01:01:00+00:00,2025-11-03 10:01:00+09:00
1762138920,52255.39,52275.39,52255.39,52270.39,24,1000,0,2025-11-03 01:02:00+00:00,2025-11-03 10:02:00+09:00
1762138980,52270.39,52275.39,52265.39,52270.39,17,1000,0,2025-11-03 01:03:00+00:00,2025-11-03 10:03:00+09:00
1762139040,52270.39,52270.39,52260.39,52260.39,19,1000,0,2025-11-03 01:04:00+00:00,2025-11-03 10:04:00+09:00
1762139100,52260.39,52260.39,52242.89,52245.39,14,1000,0,2025-11-03 01:05:00+00:00,2025-11-03 10:05:00+09:00
1762139160,52245.39,52247.89,52235.39,52235.39,21,1000,0,2025-11-03 01:06:00+00:00,2025-11-03 10:06:00+09:00
1762139220,52235.39,52237.89,52215.39,52217.89,22,1000,0,2025-11-03 01:07:00+00:00,2025-11-03 10:07:00+09:00
1762139280,52217.89,52235.39,52217.89,52220.39,31,1000,0,2025-11-03 01:08:00+00:00,2025-11-03 10:08:00+09:00
1762139340,52220.39,52225.39,52217.89,52220.39,10,1000,0,2025-11-03 01:09:00+00:00,2025-11-03 10:09:00+09:00
1762139400,52220.39,52230.39,52217.89,52227.89,15,1000,0,2025-11-03 01:10:00+00:00,2025-11-03 10:10:00+09:00
1762139460,52230.39,52235.39,52225.39,52225.39,26,1000,0,2025-11-03 01:11:00+00:00,2025-11-03 10:11:00+09:00
1762139520,52227.89,52227.89,52217.89,52220.39,16,1000,0,2025-11-03 01:12:00+00:00,2025-11-03 10:12:00+09:00
1762139580,52220.39,52222.89,52217.89,52217.89,6,1000,0,2025-11-03 01:13:00+00:00,2025-11-03 10:13:00+09:00
1762139640,52217.89,52225.39,52217.89,52222.89,7,1000,0,2025-11-03 01:14:00+00:00,2025-11-03 10:14:00+09:00
1762139700,52227.89,52237.89,52225.39,52235.39,21,1000,0,2025-11-03 01:15:00+00:00,2025-11-03 10:15:00+09:00
1762139760,52235.39,52255.39,52235.39,52255.39,21,1000,0,2025-11-03 01:16:00+00:00,2025-11-03 10:16:00+09:00
1762139820,52255.39,52255.39,52245.39,52245.39,17,1000,0,2025-11-03 01:17:00+00:00,2025-11-03 10:17:00+09:00
1762139880,52245.39,52265.39,52245.39,52265.39,20,1000,0,2025-11-03 01:18:00+00:00,2025-11-03 10:18:00+09:00
1762139940,52265.39,52267.89,52250.39,52252.89,14,1000,0,2025-11-03 01:19:00+00:00,2025-11-03 10:19:00+09:00
1762140000,52252.89,52267.89,52250.39,52255.39,31,1000,0,2025-11-03 01:20:00+00:00,2025-11-03 10:20:00+09:00
1762140060,52255.39,52265.39,52255.39,52260.39,21,1000,0,2025-11-03 01:21:00+00:00,2025-11-03 10:21:00+09:00
1762140120,52260.39,52265.39,52240.39,52240.39,23,1000,0,2025-11-03 01:22:00+00:00,2025-11-03 10:22:00+09:00
1762140180,52240.39,52240.39,52230.39,52230.39,8,1000,0,2025-11-03 01:23:00+00:00,2025-11-03 10:23:00+09:00
1762140240,52235.39,52240.39,52230.39,52235.39,11,1000,0,2025-11-03 01:24:00+00:00,2025-11-03 10:24:00+09:00
1762140300,52235.39,52247.89,52235.39,52242.89,13,1000,0,2025-11-03 01:25:00+00:00,2025-11-03 10:25:00+09:00
1762140360,52242.89,52247.89,52240.39,52245.39,7,1000,0,2025-11-03 01:26:00+00:00,2025-11-03 10:26:00+09:00
1762140420,52245.39,52247.89,52235.39,52240.39,10,1000,0,2025-11-03 01:27:00+00:00,2025-11-03 10:27:00+09:00
1762140480,52240.39,52255.39,52240.39,52255.39,6,1000,0,2025-11-03 01:28:00+00:00,2025-11-03 10:28:00+09:00
1762140540,52255.39,52267.89,52255.39,52267.89,8,1000,0,2025-11-03 01:29:00+00:00,2025-11-03 10:29:00+09:00
1762140600,52270.39,52272.89,52260.39,52265.39,23,1000,0,2025-11-03 01:30:00+00:00,2025-11-03 10:30:00+09:00
1762140660,52265.39,52270.39,52252.89,52257.89,22,1000,0,2025-11-03 01:31:00+00:00,2025-11-03 10:31:00+09:00
1762140720,52262.89,52267.89,52255.39,52255.39,32,1000,0,2025-11-03 01:32:00+00:00,2025-11-03 10:32:00+09:00
1762140780,52255.39,52260.39,52250.39,52250.39,11,1000,0,2025-11-03 01:33:00+00:00,2025-11-03 10:33:00+09:00
1762140840,52250.39,52252.89,52240.39,52245.39,15,1000,0,2025-11-03 01:34:00+00:00,2025-11-03 10:34:00+09:00
1762140900,52245.39,52247.89,52240.39,52245.39,21,1000,0,2025-11-03 01:35:00+00:00,2025-11-03 10:35:00+09:00
1762140960,52245.39,52245.39,52235.39,52240.39,25,1000,0,2025-11-03 01:36:00+00:00,2025-11-03 10:36:00+09:00
1762141020,52240.39,52240.39,52220.39,52220.39,18,1000,0,2025-11-03 01:37:00+00:00,2025-11-03 10:37:00+09:00
1762141080,52222.89,52227.89,52205.39,52205.39,14,1000,0,2025-11-03 01:38:00+00:00,2025-11-03 10:38:00+09:00
1762141140,52205.39,52212.89,52202.89,52205.39,11,1000,0,2025-11-03 01:39:00+00:00,2025-11-03 10:39:00+09:00
1762141200,52205.39,52205.39,52195.39,52197.89,21,1000,0,2025-11-03 01:40:00+00:00,2025-11-03 10:40:00+09:00
1762141260,52195.39,52205.39,52187.89,52195.39,24,1000,0,2025-11-03 01:41:00+00:00,2025-11-03 10:41:00+09:00
